ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	track_filters	total_tracks
CL:0000623	natural killer cell	primary_cell	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9me3|TF ChIP-seq CTCF|hCAGE CL:0000623|polyA plus RNA-seq|total RNA-seq	20
CL:0000624	CD4-positive, alpha-beta T cell	primary_cell	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9me3|TF ChIP-seq CTCF|polyA plus RNA-seq|total RNA-seq	18
CL:0000625	CD8-positive, alpha-beta T cell	primary_cell	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9ac|Histone ChIP-seq H3K9me3|TF ChIP-seq CTCF|polyA plus RNA-seq|total RNA-seq	19
CL:0000632	hepatic stellate cell	primary_cell	adult		dnase	DNase-seq	1
CL:0000650	mesangial cell	primary_cell	unknown,embryonic		cage,rna_seq,splice_junctions,splice_site_usage	hCAGE CL:0000650|total RNA-seq	7
CL:0000653	glomerular visceral epithelial cell	primary_cell	child		dnase	DNase-seq	1
CL:0000679	glutamatergic neuron	in_vitro_differentiated_cells	adult		chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|TF ChIP-seq CTCF|TF ChIP-seq EGR1 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens EGR1, genetically modified (insertion) using TALEN inserting M. musculus Neurog2|TF ChIP-seq FOSL1 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens FOSL1, genetically modified (insertion) using TALEN inserting M. musculus Neurog2|TF ChIP-seq ID3 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens ID3, genetically modified (insertion) using TALEN inserting M. musculus Neurog2|TF ChIP-seq TOX4 male adult (30 years) genetically modified (insertion) using CRISPR targeting H. sapiens TOX4, genetically modified (insertion) using TALEN inserting M. musculus Neurog2|total RNA-seq	11
CL:0000706	choroid plexus epithelial cell	primary_cell	unknown		chip_histone,chip_tf,dnase	DNase-seq|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF	3
CL:0000708	leptomeningeal cell	primary_cell			cage	hCAGE CL:0000708	2
CL:0000731	urothelial cell	primary_cell			cage	hCAGE CL:0000731	2
CL:0000746	cardiac muscle cell	in_vitro_differentiated_cells	embryonic		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF|hCAGE CL:0000746|polyA plus RNA-seq|total RNA-seq	18
CL:0000765	erythroblast	primary_cell	unknown		chip_tf	TF ChIP-seq POLR2A	1
CL:0000767	basophil	primary_cell			cage	LQhCAGE CL:0000767|hCAGE CL:0000767	4
CL:0000771	eosinophil	primary_cell			cage	LQhCAGE CL:0000771	2
CL:0000775	neutrophil	primary_cell	unknown		cage,chip_histone,chip_tf	Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9me3|LQhCAGE CL:0000775|TF ChIP-seq CTCF|hCAGE CL:0000775	11
CL:0000784	plasmacytoid dendritic cell	primary_cell			cage	LQhCAGE CL:0000784|hCAGE CL:0000784	4
CL:0000787	memory B cell	primary_cell	adult		atac,dnase	ATAC-seq|DNase-seq	2
CL:0000788	naive B cell	primary_cell	unknown		atac,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|polyA plus RNA-seq	6
CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary_cell	adult		atac,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9me3|polyA plus RNA-seq|total RNA-seq	14
CL:0000798	gamma-delta T cell	primary_cell			cage	hCAGE CL:0000798	2
CL:0000823	immature natural killer cell	primary_cell	unknown		dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|polyA plus RNA-seq	5
CL:0000837	hematopoietic multipotent progenitor cell	in_vitro_differentiated_cells	unknown		dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|total RNA-seq	6
CL:0000840	immature conventional dendritic cell	primary_cell			cage	LQhCAGE CL:0000840|hCAGE CL:0000840	4
CL:0000842	mononuclear cell	primary_cell	adult		chip_histone,rna_seq,splice_junctions,splice_site_usage	Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|total RNA-seq	8
CL:0000862	suppressor macrophage	primary_cell	adult		dnase	DNase-seq	1
CL:0000863	inflammatory macrophage	primary_cell	adult		dnase	DNase-seq	1
CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	primary_cell	adult		atac,cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|LQhCAGE CL:0000895|polyA plus RNA-seq|total RNA-seq	17
